"","ImageNumber","Image_Metadata_GeneID","Image_Metadata_Plate","Image_Metadata_Well","Signal"
"346",346,"SMAD5","P06","F07",551
"347",347,"KAT2A","P06","F08",578
"348",348,"Neu. ctrl.","P06","F09",707
"349",349,"SMARCE1","P06","F10",626
"350",350,"STAT6","P06","F11",719
"351",351,"siPLIN1","P06","G02",1342
"352",352,"HIPK3","P06","G03",579
"353",353,"SMARCE1","P06","G04",567
"354",354,"SMARCD3","P06","G05",950
"355",355,"SLC2A4RG","P06","G06",862
"356",356,"ZMYND8","P06","G07",538
"357",357,"ID3","P06","G08",682
"358",358,"RNF25","P06","G09",707
"359",359,"ZNF326","P06","G10",612
"360",360,"BHLHE41","P06","G11",713
"361",361,"Neu. ctrl.","P07","B02",681
"362",362,"NR1H3","P07","B03",776
"363",363,"SMARCA1","P07","B04",740
"364",364,"TMF1","P07","B05",735
"365",365,"KANK2","P07","B06",622
"366",366,"NUPR1","P07","B07",771
"367",367,"TCF25","P07","B08",707
"368",368,"RELA","P07","B09",611
"369",369,"ELK1","P07","B10",1032
"370",370,"ZNF219","P07","B11",751
"371",371,"siPLIN1","P07","C02",1193
"372",372,"MBD1","P07","C03",735
"373",373,"TCF25","P07","C04",651
"374",374,"NUPR1","P07","C05",796
"375",375,"ANKRD57","P07","C06",767
"376",376,"ARNT","P07","C07",714
"377",377,"NR1H3","P07","C08",766
"378",378,"MBD1","P07","C09",830
"379",379,"ZMIZ2","P07","C10",767
"380",380,"Neu. ctrl.","P07","C11",677
"381",381,"Neu. ctrl.","P07","D02",663
"382",382,"ANKRD57","P07","D03",788
"383",383,"KANK2","P07","D04",600
"384",384,"TEAD2","P07","D05",903
"385",385,"Neu. ctrl.","P07","D06",631
"386",386,"RELA","P07","D07",594
"387",387,"ZNF24","P07","D08",635
"388",388,"POLR3E","P07","D09",559
"389",389,"TMF1","P07","D10",725
"390",390,"SIAH2","P07","D11",608
"391",391,"siPLIN1","P07","E02",1264
"392",392,"ARNT","P07","E03",713
"393",393,"SMARCA1","P07","E04",807
"394",394,"ELK1","P07","E05",928
"395",395,"POLR3E","P07","E06",631
"396",396,"NR1H3","P07","E07",802
"397",397,"SIAH2","P07","E08",670
"398",398,"KANK2","P07","E09",610
"399",399,"ANKRD57","P07","E10",724
"400",400,"TEAD2","P07","E11",902
"401",401,"Neu. ctrl.","P07","F02",631
"402",402,"TCF25","P07","F03",731
"403",403,"RELA","P07","F04",595
"404",404,"ZNF219","P07","F05",712
"405",405,"ZMIZ2","P07","F06",781
"406",406,"MBD1","P07","F07",833
"407",407,"SMARCA1","P07","F08",710
"408",408,"Neu. ctrl.","P07","F09",643
"409",409,"ZNF24","P07","F10",540
"410",410,"ZMIZ2","P07","F11",802
"411",411,"siPLIN1","P07","G02",1234
"412",412,"TEAD2","P07","G03",813
"413",413,"ZNF24","P07","G04",598
"414",414,"POLR3E","P07","G05",550
"415",415,"SIAH2","P07","G06",567
"416",416,"TMF1","P07","G07",860
"417",417,"ELK1","P07","G08",958
"418",418,"NUPR1","P07","G09",761
"419",419,"ZNF219","P07","G10",717
"420",420,"ARNT","P07","G11",701
"421",421,"Neu. ctrl.","P08","B02",671
"422",422,"GTF2H3","P08","B03",716
"423",423,"MDM2","P08","B04",614
"424",424,"ELL2","P08","B05",568
"425",425,"FAM172A","P08","B06",567
"426",426,"MTPN","P08","B07",792
"427",427,"KLF2","P08","B08",645
"428",428,"PQBP1","P08","B09",564
"429",429,"GTF3C1","P08","B10",610
"430",430,"UBB","P08","B11",4299
"431",431,"siPLIN1","P08","C02",1237
"432",432,"TSHZ1","P08","C03",631
"433",433,"KLF2","P08","C04",610
"434",434,"MTPN","P08","C05",779
"435",435,"BUD31","P08","C06",608
"436",436,"TDG","P08","C07",575
"437",437,"GTF2H3","P08","C08",702
"438",438,"TSHZ1","P08","C09",691
"439",439,"PURA","P08","C10",679
"440",440,"Neu. ctrl.","P08","C11",722
"441",441,"Neu. ctrl.","P08","D02",719
"442",442,"BUD31","P08","D03",626
"443",443,"FAM172A","P08","D04",632
"444",444,"NSD1","P08","D05",787
"445",445,"Neu. ctrl.","P08","D06",667
"446",446,"PQBP1","P08","D07",627
"447",447,"LMO4","P08","D08",536
"448",448,"TSC22D1","P08","D09",583
"449",449,"ELL2","P08","D10",578
"450",450,"DDIT3","P08","D11",719
"451",451,"siPLIN1","P08","E02",1368
"452",452,"TDG","P08","E03",646
"453",453,"MDM2","P08","E04",646
"454",454,"GTF3C1","P08","E05",568
"455",455,"TSC22D1","P08","E06",527
"456",456,"GTF2H3","P08","E07",722
"457",457,"DDIT3","P08","E08",660
"458",458,"FAM172A","P08","E09",585
"459",459,"BUD31","P08","E10",584
"460",460,"NSD1","P08","E11",784
"461",461,"Neu. ctrl.","P08","F02",776
"462",462,"KLF2","P08","F03",726
"463",463,"PQBP1","P08","F04",603
"464",464,"UBB","P08","F05",3768
"465",465,"PURA","P08","F06",679
"466",466,"TSHZ1","P08","F07",632
"467",467,"MDM2","P08","F08",647
"468",468,"Neu. ctrl.","P08","F09",680
"469",469,"LMO4","P08","F10",584
"470",470,"PURA","P08","F11",698
"471",471,"siPLIN1","P08","G02",1299
"472",472,"NSD1","P08","G03",836
"473",473,"LMO4","P08","G04",576
"474",474,"TSC22D1","P08","G05",523
"475",475,"DDIT3","P08","G06",708
"476",476,"ELL2","P08","G07",616
"477",477,"GTF3C1","P08","G08",564
"478",478,"MTPN","P08","G09",807
"479",479,"UBB","P08","G10",3898
"480",480,"TDG","P08","G11",628
"481",481,"Neu. ctrl.","P09","B02",689
"482",482,"NFAT5","P09","B03",755
"483",483,"MYC","P09","B04",738
"484",484,"POLR2I","P09","B05",743
"485",485,"PTRF","P09","B06",630
"486",486,"CLPB","P09","B07",819
"487",487,"ANKZF1","P09","B08",505
"488",488,"CXXC1","P09","B09",553
"489",489,"ERCC6","P09","B10",653
"490",490,"SOX9","P09","B11",755
"491",491,"siPLIN1","P09","C02",1365
"492",492,"HMG20B","P09","C03",672
"493",493,"ANKZF1","P09","C04",578
"494",494,"CLPB","P09","C05",763
"495",495,"NR1D1","P09","C06",524
"496",496,"HMGN5","P09","C07",603
"497",497,"NFAT5","P09","C08",677
"498",498,"HMG20B","P09","C09",666
"499",499,"ATF1","P09","C10",578
"500",500,"Neu. ctrl.","P09","C11",666
"501",501,"Neu. ctrl.","P09","D02",711
"502",502,"NR1D1","P09","D03",550
"503",503,"PTRF","P09","D04",658
"504",504,"HMGN1","P09","D05",854
"505",505,"Neu. ctrl.","P09","D06",671
"506",506,"CXXC1","P09","D07",520
"507",507,"TGS1","P09","D08",797
"508",508,"STAT2","P09","D09",697
"509",509,"POLR2I","P09","D10",755
"510",510,"ATF3","P09","D11",720
"511",511,"siPLIN1","P09","E02",1285
"512",512,"HMGN5","P09","E03",692
"513",513,"MYC","P09","E04",745
"514",514,"ERCC6","P09","E05",661
"515",515,"STAT2","P09","E06",816
"516",516,"NFAT5","P09","E07",629
"517",517,"ATF3","P09","E08",686
"518",518,"PTRF","P09","E09",666
"519",519,"NR1D1","P09","E10",574
"520",520,"HMGN1","P09","E11",804
"521",521,"Neu. ctrl.","P09","F02",791
"522",522,"ANKZF1","P09","F03",568
"523",523,"CXXC1","P09","F04",558
"524",524,"SOX9","P09","F05",695
"525",525,"ATF1","P09","F06",539
"526",526,"HMG20B","P09","F07",666
"527",527,"MYC","P09","F08",691
"528",528,"Neu. ctrl.","P09","F09",694
"529",529,"TGS1","P09","F10",850
"530",530,"ATF1","P09","F11",592
"531",531,"siPLIN1","P09","G02",1537
"532",532,"HMGN1","P09","G03",821
"533",533,"TGS1","P09","G04",806
"534",534,"STAT2","P09","G05",751
"535",535,"ATF3","P09","G06",640
"536",536,"POLR2I","P09","G07",809
"537",537,"ERCC6","P09","G08",655
"538",538,"CLPB","P09","G09",804
"539",539,"SOX9","P09","G10",677
"540",540,"HMGN5","P09","G11",693
"541",541,"Neu. ctrl.","P10","B02",638
"542",542,"IRF2","P10","B03",796
"543",543,"MLLT1","P10","B04",644
"544",544,"ARID5B","P10","B05",635
"545",545,"EBF1","P10","B06",797
"546",546,"siPLIN1","P10","C02",1166
"547",547,"Neu. ctrl.","P10","C03",668
"548",548,"NR2C1","P10","C04",662
"549",549,"BCL6","P10","C05",701
"550",550,"EBF1","P10","C06",873
"551",551,"Neu. ctrl.","P10","D02",664
"552",552,"MLLT1","P10","D03",624
"553",553,"IRF2","P10","D04",681
"554",554,"CEBPD","P10","D05",617
"555",555,"Neu. ctrl.","P10","D06",636
"556",556,"siPLIN1","P10","E02",1147
"557",557,"BCL6","P10","E03",714
"558",558,"CEBPD","P10","E04",734
"559",559,"MLLT1","P10","E05",686
"560",560,"ARID5B","P10","E06",799
"561",561,"Neu. ctrl.","P10","F02",666
"562",562,"NR2C1","P10","F03",581
"563",563,"Neu. ctrl.","P10","F04",713
"564",564,"IRF2","P10","F05",839
"565",565,"BCL6","P10","F06",631
"566",566,"siPLIN1","P10","G02",1206
"567",567,"CEBPD","P10","G03",601
"568",568,"ARID5B","P10","G04",714
"569",569,"NR2C1","P10","G05",606
"570",570,"EBF1","P10","G06",871
